topic,question,option_a,option_b,option_c,option_d,correct_answer
Polity,"Consider the following statements:
1. The United Nations Convention against Corruption (UNCA","has a ‘Protocol
against the Smuggling of Migrants by Land, Sea and Air’.
2. The UNCAC is the ever-first legally binding global anti-corruption instrument.
3. A highlight of the United Nations Convention against Transnational Organized
Crime (UNTO","is the inclusion of a specific chapter aimed at returning assets to
their rightful owners from whom they had been taken illicitly.
4. The United Nations Office on Drugs and Crime (UNOD","is mandated by its
member States to assist in the implementation of both UNCAC and UNTOC.
Which of the statements given above are correct?",1 and 3 only,c
Polity,"Which Article of the Constitution of India safeguards one’s right to marry the person
of one’s choice?",Article 19,Article 21,Article 25,Article 29,b
Polity,"Consider the following statements:
As per the Industrial Employment (Standing Orders) Central (Amendment) Rules, 2018
1. if rules for fixed-term employment are implemented, it becomes easier for the
firms/companies to lay off workers
2. no notice of termination of employment shall be necessary in the case of temporary
workman
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c
Polity,"Which one of the following suggested that the Governor should be an eminent
person from outside the State and should be a detached figure without intense political
links or should not have taken part in politics in the recent past?",First Administrative Reforms Commission (1966),Rajamannar Committee (1969),Sarkaria Commission (1983),National Commission to Review the Working of the Constitution (2000),c
Polity,"In India, which of the following review the independent regulators in sectors like
telecommunications, insurance, electricity, etc.?
1. Ad Hoc Committees set up by the Parliament
2. Parliamentary Department Related Standing Committees
3. Finance Commission
4. Financial Sector Legislative Reforms Commission
5. NITI Aayog
Select the correct answer using the code given below:",1 and 2,"1, 3 and 4","3, 4 and 5",2 and 5,a
Polity,"Which of the following statements is/are correct regarding the Maternity Benefit
Amendment) Act, 2017?
1. Pregnant women are entitled for three months pre-delivery and three months
post-delivery paid leave.
2. Enterprises with creches must allow the mother minimum six creche visits daily.
3. Women with two children get reduced entitlements.
Select the correct answer using the code given below.",1 and 2 only,2 only,3 only,"1, 2 and 3",c
Polity,"With reference to the Constitution of India, consider the following statements:
1. No High Court shall have the jurisdiction to declare any central law to be
constitutionally invalid.
2. An amendment to the Constitution of India cannot be called into question by the
Supreme Court of India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"In the context of polity, which one of the following would you accept as the most
appropriate definition of liberty?",Protection against the tyranny of political rulers,Absence of restraint,Opportunity to do whatever one likes,Opportunity to develop oneself fully,d
Polity,"Which of the following adopted a law on data protection and privacy for its citizens
known as General Data Protection Regulation’ in April 2016 and started implementation of
it from 25th May, 2018?",Australia,Canada,The European Union,The United States of America,c
Polity,"Recently, India signed a deal known as ‘Action Plan for Prioritization and
Implementation of Cooperation Areas in the Nuclear Field’ with which of the following
countries?",Japan,Russia,The United Kingdom,The United States of America,b
Polity,"Consider the following statements:
1. In the first Lok Sabha, the single largest party in the opposition was the Swatantra Party.
2. In the Lok Sabha, a ""Leader of the Opposition"" was recognised for the first time in 1969.
3. In the Lok Sabha, if a party does not have a minimum of 75 members, its leader cannot
be recognised as the Leader of the Opposition.
Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",b
Polity,"Consider the following statements:
1. The Parliament of India can place a particular law in the Ninth Schedule of the
Constitution of India.
2. The validity of a law placed in the Ninth Schedule cannot be examined by any court and
no judgement can be made on it.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"What is/are the consequence/consequences of a country becoming the member of the
'Nuclear Suppliers Group'?
1. It will have access to the latest and most efficient nuclear technologies.
2. It automatically becomes a member of """"The Treaty on the Non-Proliferation of Nuclear
Weapons (NPT)"""".
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a
Polity,"Consider the following statements:
1. Aadhaar card can be used as a proof of citizenship or domicile.
2. Once issued, Aadhaar number cannot be deactivated or omitted by the Issuing
Authority.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
Polity,"""Rule of Law Index"" is released by which of the following?",Amnesty International,International Court of Justice,The Office of UN Commissioner for Human Rights,World Justice Report,d
Polity,"Very recently, in which of the following countries have lakhs of people either suffered
from severe famine/acute malnutrition or died due to starvation caused by war/ethnic
conflicts?",Angola and Zambia,Morocco and Tunisia,Venezuela and Colombia,Yemen and South Sudan,d
